text,true_label,pred_label,finbert_conf,rule_label,rule_conf
$ALLY - Ally Financial pulls outlook https://t.co/G9Zdi1boy5,Bearish,Neutral,0.8961957,Neutral,0.6
"$DELL $HPE - Dell, HPE targets trimmed on compute headwinds https://t.co/YRUHZw7cYl",Bearish,Neutral,0.46975887,Neutral,0.6
$TAP - Barclays cools on Molson Coors https://t.co/FJFsZWJHuH,Bearish,Neutral,0.39768428,Neutral,0.6
$TAP: Barclays cuts to Equal Weight,Bearish,Neutral,0.6694855,Bearish,0.65
"Analysts Eviscerate Musk's Cybertruck: ""0% Of Responses Felt It Will Be A Success"" https://t.co/2NTzeZea4G",Bearish,Neutral,0.5166353,Neutral,0.6
Barclays assigns only a 20% chance that studies on a Gilead antiviral drug being done in China will succeed against… https://t.co/lIgDhy1Gli,Bearish,Neutral,0.5110664,Neutral,0.6
BTIG points to breakfast pressure for Dunkin' Brands,Bearish,Neutral,0.8521539,Neutral,0.6
Clovis Oncology downgraded to in line from outperform at Evercore ISI,Bearish,Neutral,0.59527797,Neutral,0.6
Downgrades 4/7: $AAN $BDN $BECN $BTE $CDEV $CHK $COOP $CPE $CVA $DAN $DOC $DRH $EPR $ESRT $ETM $FAST $FBM $GM $GMS… https://t.co/CMXD50oQxI,Bearish,Neutral,0.8356529,Neutral,0.6
Goldman pulls Progressive from Goldman's conviction list; shares -2.7%,Bearish,Neutral,0.4909909,Neutral,0.6
Trendforce cuts iPhone estimate after Foxconn delay,Bearish,Neutral,0.6563993,Bearish,0.65
"Wayfair price target lowered to $110 from $120 at Stifel, buy rating maintained",Bearish,Bullish,0.64495844,Bullish,0.65
$ENR - Energizer shakes off JPMorgan's bear call https://t.co/w83qnp2ni5,Bullish,Bearish,0.45090878,Bearish,0.65
$NKE - BMO Capital joins Nike bull camp https://t.co/diInCmHUi5,Bullish,Neutral,0.87201643,Bullish,0.65
$SMPQY $HSIC $XRAY - Goldman ups view on Henry Schein in premarket analyst action https://t.co/ZjKejttior,Bullish,Neutral,0.92047507,Neutral,0.6
$STML: Alliance Global Partners starts at Buy https://t.co/MCyfTsXc2N,Bullish,Neutral,0.9056767,Bullish,0.65
$ZYME: H.C. Wainwright starts at Buy,Bullish,Neutral,0.93000895,Bullish,0.65
AMD +1.3% after Cowen's target lift,Bullish,Neutral,0.581729,Neutral,0.6
Boeing started at buy with $375 stock price target at Benchmark,Bullish,Neutral,0.8270039,Bullish,0.65
Champions Oncology started at speculative buy with $11 stock price target at Benchmark,Bullish,Neutral,0.88670343,Bullish,0.65
Halliburton started at buy with $26 stock price target at Deutsche Bank,Bullish,Neutral,0.84763706,Bullish,0.65
Highlight: Edward Jones Sr. Equity Analyst Jennifer Roland on ExxonMobil reducing 2020 Capex by 30%: “Definitely a… https://t.co/dH0xlJujc1,Bullish,Neutral,0.86623496,Neutral,0.6
Liberty Global PLC maintained as buy with $32 price target at Benchmark,Bullish,Neutral,0.82116634,Bullish,0.65
Lumentum initiated as positive at Susquehanna,Bullish,Neutral,0.9026457,Bullish,0.65
Markel Corporation Beat Analyst Estimates: See What The Consensus Is Forecasting For Next Year,Bullish,Neutral,0.80918497,Bullish,0.65
Peloton bulls defend the upside case,Bullish,Neutral,0.78976834,Neutral,0.6
Piper Jaffray analyst Erinn Murphy reiterated an Overweight rating and $44.00 price target on Crocs (NASDAQ: $CROX)… https://t.co/iVlcTMWm1r,Bullish,Neutral,0.6611439,Neutral,0.6
Progyny started at overweight with $26 stock price target at J.P. Morgan,Bullish,Neutral,0.8883429,Neutral,0.6
TechnipFMC started at buy with $33 stock price target at Deutsche Bank,Bullish,Neutral,0.82346195,Bullish,0.65
"UBS Upgrades Hasbro As Stock Price Bakes In Tariffs, Slow Holiday",Bullish,Neutral,0.4025243,Neutral,0.6
Analyst: Amazon Blocking FedEx Ground Good News For UPS,Neutral,Bullish,0.7629654,Bullish,0.65
Mitek bull calls pullback 'an overreaction',Neutral,Bearish,0.7853483,Bullish,0.65
"Former Federal Reserve Chairman Ben Bernanke says he doesn't see a quick, sharp rebound in the economy after its pr… https://t.co/pu15VlJ4IO",Bearish,Neutral,0.4952893,Neutral,0.6
Jerome Powell comes close to acknowledging that the Federal Reserve may not have the firepower to fight the next re… https://t.co/UD2rqlD6SD,Bearish,Neutral,0.75955135,Neutral,0.85
"No, The Fed Won't ""Save The Market"" - Here's Why  https://t.co/Ibq99qWSFz",Bearish,Neutral,0.9255552,Neutral,0.6
"""There is every reason to believe that the economic rebound, when it comes, can be robust,"" Fed Chair Jerome Powell… https://t.co/Ovi6BRM3TK",Bullish,Neutral,0.72353595,Neutral,0.6
$ECONX: Federal Reserve announces extensive new measures to support the economy https://t.co/Gf6CfThO7r,Neutral,Bullish,0.6735882,Neutral,0.6
Commercial and industrial loans at all commercial banks climb by $105.8 billion to $2.845 trillion in the week endi… https://t.co/jTTkUE4l0L,Neutral,Bullish,0.8390975,Neutral,0.6
Fed surprises market with program to support corporate bonds amid coronavirus pandemic https://t.co/NLeJwjmyXw,Neutral,Bullish,0.8179769,Neutral,0.6
Bank agencies announced they'll temporarily lower the community bank leverage ratio to 8%. The rule change - requir… https://t.co/m6N7S7zEwo,Neutral,Bearish,0.60305524,Bearish,0.65
Brazil economists forecast more rate cuts ahead https://t.co/MVimfZn0x9,Neutral,Bullish,0.686135,Bearish,0.65
Fed Chair Jerome Powell was chided by a Democratic lawmaker for his attendance at a party thrown by Amazon CEO Jeff… https://t.co/BNq5I9PUqc,Neutral,Bearish,0.70140463,Neutral,0.6
Fed's 42-Day Repo 2x Oversubscribed In Scramble For Year End Liquidity https://t.co/skVPSppwaY,Neutral,Bearish,0.83953595,Neutral,0.6
Markets bet Fed is pushed to cut rates in coronavirus response https://t.co/4NDOpE6Kka https://t.co/8L2dYY8EYK,Neutral,Bearish,0.58156526,Bearish,0.65
RBI’s Long-Term Repo Operations Seen As Stealth Move To Bring Down Rates,Neutral,Bearish,0.40159076,Bearish,0.65
Spain to guarantee up to 80% of SME bank loans to ease virus impact #economy #MarketScreener https://t.co/SAmTS65y1z https://t.co/JFT2FzyZVp,Neutral,Bullish,0.727701,Bullish,0.65
The Fed mounted an extraordinary new array of programs to offset the 'severe disruptions' to the economy caused by… https://t.co/Q0oP8CE8Vy,Neutral,Bullish,0.7803019,Neutral,0.6
Zambia’s kwacha staged a comeback on Tuesday after the central bank raised the amount of funds that commercial lend… https://t.co/oS097rGn8S,Neutral,Bullish,0.575343,Bullish,0.65
Bank of America sees demand surge for paycheck protection loans https://t.co/6feALqK8zN,Bearish,Bullish,0.86329895,Bullish,0.65
BREAKING: FDA issues ban on some fruit and mint flavored vaping products https://t.co/MxWx3AqSi8,Bearish,Neutral,0.5290466,Neutral,0.6
Fiat Chrysler Relies on Ram Growth as Europe Losses Mount,Bearish,Neutral,0.69120413,Neutral,0.6
"ICYMI: Transport for London said Uber $UBER was not ""fit and proper"" to hold an operating license in London after a… https://t.co/6KXYb2e38V",Bearish,Neutral,0.6268523,Neutral,0.6
Mahindra Says Coronavirus May Jeopardize India Emissions Rollout,Bearish,Neutral,0.7735108,Neutral,0.85
"NTSB cites Uber, driver in fatal crash",Bearish,Neutral,0.48200285,Neutral,0.6
NVIDIA's New Cloud Service Could Spell Doom for Google's Stadia,Bearish,Neutral,0.7554467,Neutral,0.85
PG&E Loses Half of Financial Backing for Bankruptcy in New Pacts,Bearish,Neutral,0.5767454,Neutral,0.6
"Stock Market Live Updates: Home Depot faults tariffs, lumber prices for grim quarter - Yahoo Finance",Bearish,Neutral,0.8005532,Neutral,0.6
"Trans Mountain Costs to Increase 70% to $9.5 Billion, CBC Says",Bearish,Bullish,0.8556284,Neutral,0.6
"Transport for London has decided not to extend Uber’s license to operate in the city. In a statement, transit offic… https://t.co/Wh2Fx1FLgh",Bearish,Neutral,0.8849083,Neutral,0.6
Tuna maker Bumble Bee Foods has filed for Chapter 11 bankruptcy protection. https://t.co/d2gVKB0BB3,Bearish,Neutral,0.49223998,Neutral,0.6
WeWork Could Leave Thousands Without Jobs,Bearish,Neutral,0.5008818,Neutral,0.85
$RHHBY - Genentech nabs accelerated review status for risdiplam https://t.co/TlPBstlehr,Bullish,Neutral,0.6443913,Neutral,0.6
$SRNE UPDATE 1-Sorrento Therapeutics rejects all-cash takeout proposal; shares jump https://t.co/rPHkDVbzui via @YahooFinance,Bullish,Neutral,0.45418024,Neutral,0.6
$ZGNX - FDA OKs Zogenix's Fintepla for Dravet syndrome https://t.co/vdfppIz1AN,Bullish,Neutral,0.74067396,Neutral,0.6
5 Reasons To Love Wendy's On Its 50th Birthday,Bullish,Neutral,0.74643487,Neutral,0.6
AT&T says it will continue investing in Mexico: Mexican president,Bullish,Neutral,0.8806316,Neutral,0.6
Boeing : Deliveries 24 Jets in November #Boeing #Stock #MarketScreener https://t.co/jtBrv76jG6 https://t.co/s9q1BEhwcC,Bullish,Neutral,0.89326227,Neutral,0.6
"Boeing 737 Max Net Orders Rise to -73 YTD in Nov. From -93 Oct. Yes, negative",Bullish,Bearish,0.55484426,Bearish,0.65
"Congratulations to Phreesia (NYSE: $PHR) who was just named 2020 Best in KLAS for Patient Intake Management 

Read... https://t.co/lgQFrG7lOr",Bullish,Neutral,0.541961,Neutral,0.6
FDA Approves First Drug for Peanut Allergy,Bullish,Neutral,0.79892904,Neutral,0.6
Hastings Technology Metals : Bulk Ore Sorting Trial Shows Outstanding Results #HastingsTechnologyMetals #Stock… https://t.co/jH9XEyDAxJ,Bullish,Neutral,0.50523233,Neutral,0.6
J.P. Morgan: Bausch to better weather the market than other specialty drugmakers,Bullish,Neutral,0.59554964,Neutral,0.6
Mediaset CEO upbeat on reaching accord with Vivendi,Bullish,Neutral,0.58216757,Neutral,0.6
"Microsoft Could Win Next Phase Of Cloud Battle, Wedbush Says",Bullish,Neutral,0.6444259,Neutral,0.85
NVIDIA : GPU-Powered Semi Simulation Snags Coveted Research Award #NVIDIA #Stock #MarketScreener… https://t.co/03LwvaKx5q,Bullish,Neutral,0.64072114,Neutral,0.6
Pershing Square Holdings announces new $100M share buyback program,Bullish,Neutral,0.9017847,Neutral,0.6
Publicis Signals Worst May Be Over for Struggling Ad Group,Bullish,Neutral,0.8306041,Neutral,0.85
"Tezos rallies into the top ten cryptocurrencies, ousting Stellar",Bullish,Neutral,0.6333112,Neutral,0.6
This chart shows how Vanguard’s explosive growth has ‘taken on a life of its own’: https://t.co/8IOnrejNLy,Bullish,Neutral,0.8959797,Bullish,0.65
Why Walmart and Target are still winning with consumers https://t.co/TvPW2GzpQ6 by @DegrootMckenzie https://t.co/MHBf51cVBC,Bullish,Neutral,0.4868159,Neutral,0.6
$CVX - Chevron ramps output at key Venezuela oil project as U.S. weighs sanctions https://t.co/o4g9WuvJfo,Bullish,Bearish,0.7232351,Neutral,0.6
$EQNR $SU - Siccar Point attracts bids as high as nearly $2B - Reuters https://t.co/CMSO3XjoN1,Neutral,Bullish,0.7034361,Neutral,0.6
$ITRN - Margins suffer at Ituran Location in Q3 https://t.co/cCI94Csl3s,Neutral,Bearish,0.87817496,Neutral,0.6
"$PBR $BAK - Petrobras CEO wants fast sale of Braskem, improved Brazil auction process https://t.co/utBwKEfXai",Neutral,Bullish,0.74919325,Neutral,0.6
$SO - Final containment ring placed for Georgia Power's Vogtle nuclear expansion https://t.co/gTNtdx755r,Neutral,Bullish,0.5415632,Bullish,0.65
Activision Blizzard’s Revenue To See Double-Digit Decline In 2019?,Neutral,Bearish,0.86086494,Bearish,0.65
Advent to build up hair care brand following Olaplex buyout,Neutral,Bullish,0.5269943,Bullish,0.65
Alibaba on track to raise $12.9 billion in Hong Kong listing - CNN,Neutral,Bullish,0.55912954,Bullish,0.65
Alibaba share sale for $13.B Hong Kong listing oversubscribed,Neutral,Bearish,0.8100053,Neutral,0.6
Arrow Electronics Forges New Global IoT Solutions Collaboration with Microshare Inc.,Neutral,Bullish,0.707752,Neutral,0.6
AVJennings : AVJ Progressing with 3500 Lot Project in SEQ Growth Corridor #AVJennings #Stock #MarketScreener… https://t.co/wEuepnKClY,Neutral,Bullish,0.5767514,Bullish,0.65
Berenberg expects higher offer for LogMeIn,Neutral,Bullish,0.70730054,Bullish,0.65
Boeing gets 10 additional orders for 737 MAX 8 planes valued at $1.2 billion from SunExpress,Neutral,Bullish,0.8265731,Neutral,0.6
Cadbury Chocolate Maker Sees ‘No Stopping of Growth’ in Demand,Neutral,Bearish,0.6459177,Bearish,0.65
Cambridge Cognition : expands eCOA offering and wins contract with top 10 pharmaceutical c... #CambridgeCognition… https://t.co/KG7utY8LZm,Neutral,Bullish,0.72657436,Bullish,0.65
Crunch talks lead to Emirates order for 30 Boeing Dreamliners,Neutral,Bullish,0.6578343,Neutral,0.6
Ford and McDonalds are teaming up to create car parts out of coffee beans https://t.co/HZOpOUPKJh,Neutral,Bullish,0.5270703,Bullish,0.65
Google Stadia review: The game streaming service works — but it’s missing key features,Neutral,Bearish,0.5969205,Bearish,0.9
Grazitti Interactive Expands Its Presence in North America,Neutral,Bullish,0.6821592,Bullish,0.65
Heard on the Street: Dubai shows up Boeing’s wide-body woes https://t.co/Jla8Ap1CJm,Neutral,Bullish,0.60391927,Bullish,0.65
Mallinckrodt loses bid to overturn adverse INOmax patent ruling,Neutral,Bearish,0.77213854,Neutral,0.6
Marubeni : 10 Year Extension of Production Sharing Contract for Ravva Oil and Gas Field in... #Marubeni #Stock… https://t.co/4lYEQ2SMIF,Neutral,Bullish,0.7360831,Neutral,0.6
Maurice Lévy says his starting point at WeWork is to stem 'the flow of bad news' and refocus efforts on the core bu… https://t.co/YppGAFypPH,Neutral,Bearish,0.56964445,Bearish,0.65
"MMTC To Import 6,090 Tonne Onion To Boost Supply, Cut Prices",Neutral,Bearish,0.52475166,Bearish,0.65
Morgan Stanley pushes advisers to boost revenue in 2020 pay plan -sources,Neutral,Bullish,0.8371354,Neutral,0.6
Oakdale Resources : Guangdong achieves sustained progress in utilization of FDI #OakdaleResources #Stock… https://t.co/Y1ktrolyvu,Neutral,Bullish,0.8553556,Neutral,0.6
"PG&E to cut power to 150,000 customer for fire risk",Neutral,Bearish,0.7031866,Bearish,0.75
"Porsche is going all in on electric vehicles, but the legendary 911 will be the last of the brand’s lineup to make… https://t.co/cenmzD3pmN",Neutral,Bullish,0.9339685,Bullish,0.9
"Porsche is going all in on electric vehicles, but the legendary 911 will be the last of the brand’s lineup to make… https://t.co/yLO2JlqVp6",Neutral,Bullish,0.9339685,Bullish,0.9
Procter & Gamble looks to get well in healthcare,Neutral,Bullish,0.8349848,Neutral,0.6
REGO Restaurant Group Inks 20-store Development Deal for Quiznos Expansion into Latin America,Neutral,Bullish,0.5395886,Bullish,0.65
Respimat® re-usable inhaler wins 2020 Pharmapack Eco-Design Award,Neutral,Bullish,0.7948429,Neutral,0.6
"Struggling British luxury carmaker Aston Martin aims to rustle up a $650 million capital boost, led by Canadian bil... https://t.co/tpgeI6vmuo",Neutral,Bullish,0.8465655,Bullish,0.65
"Tesla's truck, a Mustang SUV, a 304-mph Bugatti, and 11 other standouts from a wild week at the L.A. Auto Show https://t.co/EB1T7AOGMv",Neutral,Bullish,0.6538745,Neutral,0.6
Two of three SandRidge royalty trusts lose NYSE listing,Neutral,Bearish,0.68348366,Neutral,0.6
UPDATE 2-Crunch talks lead to Emirates order for 30 Boeing Dreamliners,Neutral,Bullish,0.8322854,Neutral,0.6
UPDATE 2-Thousands of CN Rail workers hold first strike in a decade,Neutral,Bearish,0.6722832,Neutral,0.6
"VTEX, an e-commerce platform used by Walmart, raises $140M led by SoftBank's LatAm fund https://t.co/UJ2s2wUYPD via… https://t.co/sATiJD3uQM",Neutral,Bullish,0.63514966,Bullish,0.65
Walmart looks to get past dog days of in-house grocery delivery,Neutral,Bullish,0.762653,Neutral,0.6
WRAPUP-Airbus dominates second day of Dubai show as Boeing wins MAX order,Neutral,Bullish,0.7356989,Neutral,0.6
"A fire broke out overnight at Exxon's Baton Rouge oil refinery in Louisiana, halting production at the fifth-bigges… https://t.co/fo5UTOUNMB",Neutral,Bearish,0.6782102,Neutral,0.6
Hackers Breach Ring Home Security Cameras,Bearish,Neutral,0.6350676,Neutral,0.6
"Press release: cyber attack - update January 31, 2020 #Picanol #Stock #MarketScreener https://t.co/AXwQmrRC3G https://t.co/e4KSKzdmA9",Bearish,Neutral,0.89779025,Neutral,0.6
T-Mobile said a hacker gained access to limited information contained in prepaid accounts https://t.co/Ui6KpaVAmj,Bearish,Neutral,0.85572463,Neutral,0.6
10Y Yield LOD 1.7620%,Bearish,Neutral,0.8726703,Neutral,0.6
30-year Treasury yield plumbs key 2% support level https://t.co/g1AUTKwOCb,Bearish,Neutral,0.56892073,Neutral,0.6
"A group of investors agreed to a tentative plan to reduce Puerto Rico's debt by about 40%, a key hurdle in its reco… https://t.co/KZK55OaEmp",Neutral,Bullish,0.8257923,Neutral,0.6
AT&T takes on $5.5 billion loan to boost 'financial flexibility' https://t.co/ENTHbld55o https://t.co/BsoQHzpzao,Neutral,Bullish,0.80759555,Neutral,0.6
"China is planning a record sale of sovereign bonds in dollars, with a potential $6 billion offering https://t.co/zWNMQ4mXNb",Neutral,Bullish,0.5547911,Bullish,0.65
China lines up record-breaking dollar bond https://t.co/XqtVhZcmWm,Neutral,Bullish,0.7689676,Bullish,0.75
China’s $1.5 Trillion Pile of Bad Debt Lures Foreign Funds,Neutral,Bearish,0.71701413,Bearish,0.65
"EasyJet requests draw down of $500 million credit facility, explores more funding https://t.co/ZQZlGMNBJS https://t.co/09iTvOg2Av",Neutral,Bearish,0.5687026,Bearish,0.65
"Spanish companies, households snap up state-backed emergency credit  #Stock #MarketScreener https://t.co/o9iBDZEijE https://t.co/FQyY8WaORo",Neutral,Bullish,0.47227287,Bullish,0.65
"Telenet : issues a new 6.2-year Ã‚â‚¬510.0 million revolving credit facility, further strength... #Telenet #Stock… https://t.co/6u4or9Yn9H",Neutral,Bullish,0.7949384,Neutral,0.6
"Two key regulators are holding off on easing Wall Street debt limits, leaving billions of dollars locked up that co… https://t.co/YvDDlEcmh2",Neutral,Bullish,0.5564137,Bullish,0.65
"VF : to Draw Down $1 Billion From Credit Facility, Cuts CEO's Pay by 50% #VF #Stock #MarketScreener… https://t.co/ZWMiFpYcfy",Neutral,Bearish,0.82258826,Bearish,0.75
Democrats push for the Fed to buy low-rated municipal debt to ease the virus strain on state and local governments https://t.co/rFJqDxUqZM,Neutral,Bullish,0.56218016,Bullish,0.65
Euro zone to consider credit line from bailout fund to fight coronavirus https://t.co/aHTraPoyIK https://t.co/Rra8KyLRGy,Neutral,Bullish,0.66212606,Neutral,0.6
International Bancshares Corporation's (NASDAQ:IBOC) 2.6% Dividend Yield Looks Pretty Interesting,Bullish,Neutral,0.50053096,Neutral,0.6
Dish TV India Limited Just Missed Earnings With A Surprise Loss - Here Are Analysts Latest Forecasts,Bearish,Neutral,0.6527451,Bearish,0.75
Legacy Housing Corporation Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,Bearish,Neutral,0.67662954,Bearish,0.65
Why Home Depot Stumbled on Earnings,Bearish,Neutral,0.9077566,Neutral,0.6
"$NVDA - After Intel And AMD, Nvidia Q4 Earnings Release Most Likely Beats. https://t.co/e87ZEOd1Z8 #business #stockmarket #markets",Bullish,Neutral,0.87255794,Bullish,0.65
Adobe Hits New Highs on Earnings - Here’s What the Charts Say - TheStreet,Bullish,Neutral,0.82575643,Neutral,0.6
Amazon rejoins $1tn club on back of blockbuster earnings https://t.co/a3rPNz6Xsn,Bullish,Neutral,0.58795375,Neutral,0.6
Cineplex Inc. Just Beat Earnings Expectations: Here's What Analysts Think Will Happen Next,Bullish,Neutral,0.8355072,Bullish,0.65
Why Pinterest Earnings Were So Inspiring,Bullish,Neutral,0.84817547,Neutral,0.6
Did Thermo Fisher Scientific Inc.'s (NYSE:TMO) Recent Earnings Growth Beat The Trend?,Neutral,Bullish,0.5024379,Bullish,0.75
How Driller Helmerich & Payne Scored a Q1 2020 Earnings Beat,Neutral,Bullish,0.5376993,Bullish,0.65
Notable earnings after Monday’s close,Neutral,Bullish,0.70536184,Neutral,0.6
Snap-on Announces Fourth Quarter and Full Year 2019 Results,Neutral,Bearish,0.76000947,Neutral,0.6
"Tapestry, Inc. Reports Fiscal 2020 Second Quarter Results",Neutral,Bearish,0.67446846,Neutral,0.6
$TOPS The world could soon run out of space to store oil. That may plunge prices below zero https://t.co/4ZEUx6r7qj.,Bearish,Neutral,0.77689886,Neutral,0.85
"Almost 40% of oil and natural gas producers face insolvency within the year if the oil rout persists, a new Federal… https://t.co/8LK2acX5mE",Bearish,Neutral,0.6851187,Neutral,0.85
Can West Texas Intermediate crude fall beneath 50 cents a barrel? Someone thinks so https://t.co/cCYayTd9qW,Bearish,Neutral,0.6650725,Bearish,0.65
Fracking Blows Up Investors Again: Phase 2 Of The Great American Shale Oil & Gas Bust https://t.co/tsawCbV7Jn,Bearish,Neutral,0.80854636,Bullish,0.75
Oil companies warn Kansas City Fed there could be widespread insolvencies https://t.co/DRXouEBf0p,Bearish,Neutral,0.811831,Neutral,0.85
OPEC+ Weighs Emergency Response as Oil Slumps on Virus Panic,Bearish,Neutral,0.6039894,Neutral,0.6
U.K. Flash PMIs - Uncertainty Driving Economy Into Recessionary Territory. Subscribe to Seeking Alpha for more:… https://t.co/5R3pl0m4Ik,Bearish,Neutral,0.8477189,Neutral,0.6
$OIS - Waning Pricing Power Could Stymie Oil States. https://t.co/cv7dKthhRN #finance #stockmarket #economy,Bearish,Neutral,0.64761364,Neutral,0.85
"Damned if they do, damned if they don't: Investors are punishing major oil companies for new crude reserves-and cle… https://t.co/mILVq1M0cW",Bearish,Neutral,0.67778367,Neutral,0.85
GlobalData : Pemex in no position to maintain output profitably regardless of OPEC+ reques... #GlobalData #economy… https://t.co/gkm88jCriu,Bearish,Neutral,0.60740167,Neutral,0.6
Natural Gas Finally Starting To Buckle Against The Broader Market Liquidation. https://t.co/I7Uxy9MOlT #stocks #stockmarket #business,Bearish,Neutral,0.43119907,Neutral,0.6
Oil expert: 'We're looking at a worst case scenario of a $41 a barrel' https://t.co/mTxDKbjfej by @GreteSuarez https://t.co/I9FfdG1OxC,Bearish,Neutral,0.6459625,Neutral,0.6
Oil Prices' Hard Landing Initializing Descent. Continue reading: https://t.co/4zqKuKP70N #markets #business #economy,Bearish,Neutral,0.84885764,Neutral,0.6
Saudi Arabia tanker power play could backfire as oil demand shrinks https://t.co/NccWYluy4I https://t.co/5u2SO81qM2,Bearish,Neutral,0.8241538,Neutral,0.85
Lumber futures rally as producers cut output https://t.co/WsTaphOfvv,Bullish,Bearish,0.788057,Neutral,0.6
Oil - The Shale Treadmill Is Going To Be A Thing Of Beauty. https://t.co/Efdq6nuU9b #stockmarket #economy #investing,Bullish,Neutral,0.9141216,Neutral,0.6
Oil pared losses amid signs that Saudi Arabia and Russia are making progress toward an agreement to curb crude outp… https://t.co/d8GzSKGYQE,Bullish,Bearish,0.5266872,Bearish,0.65
Oil rises for a second day as OPEC+ weighs coronavirus action,Bullish,Neutral,0.48380044,Neutral,0.6
Guyana is set to become a top oil producer with a newly-discovered offshore oil field. Insights via @CMEGroup https://t.co/RMDfHqqRm4,Bullish,Neutral,0.49529627,Neutral,0.6
JUST RELEASED: Oil Price Dynamics Report Oil prices rose over the past week owing to decreased supply.… https://t.co/GDfcDZqNZ0,Bullish,Bearish,0.7692408,Neutral,0.6
Natural Gas And The Electric Power Sector: Mostly Bullish Signals. https://t.co/d1pDLS2Ej5 #markets #stocks #economy,Bullish,Neutral,0.6606285,Bullish,0.65
Oil held near $50 a barrel in New York on signs that OPEC and its allies probably won't go ahead with a much-touted… https://t.co/LXi5faZhIf,Bullish,Neutral,0.4488404,Neutral,0.6
"Oil prices soar after a U.S. air strike in Baghdad killed the head of Iran's elite Quds Force, raising concerns tha… https://t.co/982TZUwI2F",Bullish,Neutral,0.61716634,Neutral,0.6
Oil rises for third day as coronavirus impact may spur output cuts #economy #MarketScreener https://t.co/8mQEa5vMRv https://t.co/AuaBTevMHr,Bullish,Neutral,0.45434624,Neutral,0.85
$UNG $DGAZ $UGAZ - Natural gas inventory draw in-line with estimates https://t.co/bdJKXSH7Ye,Neutral,Bullish,0.7686731,Neutral,0.6
